ATM_ID,Area,Date,Day_of_Week,Time_of_Day,Location_Type,Total_Withdrawals,Total_Deposits,Holiday_Flag,Special_Event_Flag,Weather_Condition,Nearby_Competitor_ATMs,Previous_Day_Cash_Level,Cash_Demand_Next_Day
ATM35,Thaltej,2024-02-04,Sunday,Morning,Urban,60987,42418,0,0,Cloudy,5,73882,66486
ATM36,Thaltej,2024-02-05,Monday,Night,Urban,41252,25836,0,0,Clear,5,54086,45758
ATM37,Satellite,2024-02-06,Tuesday,Night,Urban,48331,33050,0,0,Cloudy,0,59046,53844
ATM38,Vastrapur,2024-02-07,Wednesday,Evening,Urban,51779,35291,0,1,Clear,3,65333,55367
ATM39,Bopal,2024-02-08,Thursday,Morning,Rural,16580,13035,0,0,Foggy,1,29120,19752
ATM40,Maninagar,2024-02-09,Friday,Night,Residential,27935,21640,0,0,Cloudy,3,39970,31324
ATM41,Navrangpura,2024-02-10,Saturday,Night,Urban,70344,48920,0,1,Clear,1,88116,74460
ATM42,Maninagar,2024-02-11,Sunday,Morning,Residential,34735,26678,0,0,Cloudy,3,46406,38116
ATM43,Chandkheda,2024-02-12,Monday,Afternoon,Residential,39259,27682,0,1,Foggy,5,50943,47023
ATM44,Bopal,2024-02-13,Tuesday,Afternoon,Rural,26836,16470,0,1,Foggy,0,42667,32287
ATM45,Vastrapur,2024-02-14,Wednesday,Night,Urban,45052,29091,0,0,Cloudy,5,59259,47687
ATM46,Thaltej,2024-02-15,Thursday,Afternoon,Urban,50489,32433,0,0,Clear,1,70182,55453
ATM47,Gota,2024-02-16,Friday,Night,Rural,9975,6043,0,0,Rainy,5,25546,13206
ATM48,Thaltej,2024-02-17,Saturday,Night,Urban,58161,37883,0,0,Cloudy,5,77266,64627
ATM49,Thaltej,2024-02-18,Sunday,Afternoon,Urban,45936,29252,0,0,Clear,5,58716,55852
ATM50,Maninagar,2024-02-19,Monday,Afternoon,Residential,26050,15643,0,0,Clear,1,38138,30420
ATM51,Chandkheda,2024-02-20,Tuesday,Night,Residential,21128,14705,0,0,Clear,3,32082,29251
ATM52,Maninagar,2024-02-21,Wednesday,Morning,Residential,26613,17169,0,0,Clear,3,43818,32576
ATM53,Ellisbridge,2024-02-22,Thursday,Night,Urban,68402,45066,0,1,Clear,4,86549,72882
ATM54,Chandkheda,2024-02-23,Friday,Evening,Residential,29765,18774,0,0,Cloudy,3,47469,35574
ATM55,Chandkheda,2024-02-24,Saturday,Afternoon,Residential,38396,28419,0,0,Foggy,0,56200,48244
ATM56,Chandkheda,2024-02-25,Sunday,Evening,Residential,34401,26390,0,0,Cloudy,2,46887,38189
ATM57,Maninagar,2024-02-26,Monday,Evening,Residential,28260,18240,1,0,Cloudy,5,47649,32971
ATM58,Chandkheda,2024-02-27,Tuesday,Morning,Residential,42841,27930,0,1,Foggy,3,54308,48687
ATM59,Gota,2024-02-28,Wednesday,Night,Rural,10328,8157,0,0,Foggy,3,24808,19368
ATM60,Gota,2024-02-29,Thursday,Evening,Rural,11763,9298,0,0,Rainy,4,22596,14543
ATM61,Satellite,2024-01-01,Monday,Morning,Urban,70468,54504,1,0,Foggy,5,89428,78974
ATM62,Vastrapur,2024-01-02,Tuesday,Night,Urban,57298,34980,0,0,Cloudy,3,68681,59498
ATM63,Ellisbridge,2024-01-03,Wednesday,Morning,Urban,68150,51476,0,1,Clear,5,85005,74908
ATM64,Vastrapur,2024-01-04,Thursday,Night,Urban,39886,29599,0,0,Cloudy,1,59258,44755
ATM65,Satellite,2024-01-05,Friday,Morning,Urban,57994,44676,0,0,Clear,3,70389,62772
ATM66,Thaltej,2024-01-06,Saturday,Evening,Urban,79899,57281,0,1,Cloudy,3,99149,85386
ATM67,Ellisbridge,2024-01-07,Sunday,Evening,Urban,53217,34250,0,0,Clear,0,68385,57012
ATM68,Chandkheda,2024-01-08,Monday,Night,Residential,29771,23470,0,0,Cloudy,4,49140,32643
ATM69,Chandkheda,2024-01-09,Tuesday,Morning,Residential,21820,15338,0,0,Foggy,0,36204,25018
ATM70,Maninagar,2024-01-10,Wednesday,Evening,Residential,17588,11525,0,0,Foggy,4,33151,24487
ATM71,Thaltej,2024-01-11,Thursday,Afternoon,Urban,57306,41915,0,0,Rainy,3,69270,62088
ATM72,Vastrapur,2024-01-12,Friday,Afternoon,Urban,50481,38721,0,0,Rainy,2,67530,59236
ATM73,SG Highway,2024-01-13,Saturday,Morning,Business,59564,43772,0,0,Foggy,2,76643,64700
ATM74,Bopal,2024-01-14,Sunday,Evening,Rural,23903,15662,0,0,Cloudy,3,39998,29936
ATM75,SG Highway,2024-01-15,Monday,Night,Business,40698,24854,0,0,Foggy,5,59397,48756
ATM76,SG Highway,2024-01-16,Tuesday,Night,Business,44287,28614,0,0,Cloudy,2,64058,50387
ATM77,Thaltej,2024-01-17,Wednesday,Afternoon,Urban,52171,40082,0,0,Clear,1,65864,56539
ATM78,Chandkheda,2024-01-18,Thursday,Morning,Residential,26731,20216,0,0,Cloudy,4,37899,33588
ATM79,Satellite,2024-01-19,Friday,Afternoon,Urban,43797,30146,0,0,Cloudy,5,62391,52777
ATM80,Ellisbridge,2024-01-20,Saturday,Evening,Urban,62729,38224,0,0,Rainy,0,82466,65217
ATM81,Maninagar,2024-01-21,Sunday,Afternoon,Residential,35775,23584,0,0,Rainy,4,55555,40827
ATM82,Maninagar,2024-01-22,Monday,Afternoon,Residential,19842,12261,0,0,Cloudy,0,33262,26943
ATM83,Thaltej,2024-01-23,Tuesday,Night,Urban,37953,28426,0,0,Clear,4,57594,41723
ATM84,Vastrapur,2024-01-24,Wednesday,Afternoon,Urban,52420,41508,0,0,Rainy,5,64872,61453
ATM85,Thaltej,2024-01-25,Thursday,Afternoon,Urban,43977,31445,0,0,Clear,1,62535,46702
ATM86,SG Highway,2024-01-26,Friday,Morning,Business,69831,51218,1,0,Cloudy,0,81892,74364
ATM87,Vastrapur,2024-01-27,Saturday,Afternoon,Urban,60291,43282,0,0,Cloudy,0,75143,68036
ATM88,Vastrapur,2024-01-28,Sunday,Evening,Urban,67642,47179,0,0,Clear,4,78217,70814
ATM89,Navrangpura,2024-01-29,Monday,Morning,Urban,44565,29648,0,0,Rainy,1,62873,47812
ATM90,Thaltej,2024-01-30,Tuesday,Afternoon,Urban,50883,40638,0,0,Rainy,5,67812,57051
ATM91,Chandkheda,2024-01-31,Wednesday,Night,Residential,23266,14970,0,0,Clear,1,34678,30503
ATM92,Satellite,2024-02-01,Thursday,Morning,Urban,63235,47456,1,0,Foggy,1,81273,65883
ATM93,Thaltej,2024-02-02,Friday,Evening,Urban,66275,40445,0,1,Foggy,1,79680,74532
ATM94,Navrangpura,2024-02-03,Saturday,Morning,Urban,75529,47169,0,1,Cloudy,1,93465,84146
ATM95,SG Highway,2024-02-04,Sunday,Morning,Business,67126,45344,0,1,Cloudy,3,83488,69811
ATM96,Ellisbridge,2024-02-05,Monday,Afternoon,Urban,52387,36903,0,0,Rainy,3,62410,57061
ATM97,Bopal,2024-02-06,Tuesday,Evening,Rural,10314,8186,0,0,Rainy,0,22697,14830
ATM98,Gota,2024-02-07,Wednesday,Morning,Rural,10327,7183,0,0,Rainy,3,26331,14160
ATM99,Ellisbridge,2024-02-08,Thursday,Morning,Urban,56590,37548,0,1,Clear,4,73298,64564
ATM100,SG Highway,2024-02-09,Friday,Afternoon,Business,32279,23939,0,0,Rainy,5,45981,40119
ATM101,Thaltej,2024-02-10,Saturday,Afternoon,Urban,47493,30885,0,0,Foggy,0,65784,51131
ATM102,Chandkheda,2024-02-11,Sunday,Morning,Residential,28842,19161,0,0,Rainy,2,42109,36795
ATM103,Bopal,2024-02-12,Monday,Night,Rural,8353,5197,0,0,Cloudy,3,24200,14239
ATM104,Navrangpura,2024-02-13,Tuesday,Evening,Urban,45002,27977,0,0,Foggy,1,64977,52717
ATM105,Thaltej,2024-02-14,Wednesday,Morning,Urban,40347,31596,0,0,Foggy,1,55277,49958
ATM106,Thaltej,2024-02-15,Thursday,Evening,Urban,59690,44761,0,0,Clear,2,78679,66203
ATM107,Bopal,2024-02-16,Friday,Evening,Rural,14376,10315,0,0,Clear,0,32602,16620
ATM108,SG Highway,2024-02-17,Saturday,Afternoon,Business,56776,36942,0,0,Foggy,3,67969,64854
ATM109,Gota,2024-02-18,Sunday,Morning,Rural,30567,20226,0,1,Cloudy,1,41768,35576
ATM110,Vastrapur,2024-02-19,Monday,Afternoon,Urban,41151,26962,0,0,Cloudy,4,56057,43715
ATM111,Gota,2024-02-20,Tuesday,Morning,Rural,34681,24449,0,1,Cloudy,0,54602,42473
ATM112,Bopal,2024-02-21,Wednesday,Evening,Rural,16985,11984,0,0,Cloudy,2,36690,21361
ATM113,Gota,2024-02-22,Thursday,Evening,Rural,15725,11101,0,0,Cloudy,3,29967,22117
ATM114,Navrangpura,2024-02-23,Friday,Morning,Urban,66327,43049,0,1,Cloudy,5,78764,70870
ATM115,Maninagar,2024-02-24,Saturday,Night,Residential,22995,14031,0,0,Foggy,2,38016,31568
ATM116,SG Highway,2024-02-25,Sunday,Night,Business,52839,34477,0,0,Clear,3,67203,59303
ATM117,Maninagar,2024-02-26,Monday,Afternoon,Residential,33580,26725,1,0,Rainy,2,52815,39545
ATM118,Thaltej,2024-02-27,Tuesday,Evening,Urban,53085,38387,0,1,Clear,3,70536,61506
ATM119,Chandkheda,2024-02-28,Wednesday,Evening,Residential,48408,33651,0,1,Cloudy,5,64976,52954
ATM120,Vastrapur,2024-02-29,Thursday,Afternoon,Urban,50508,38084,0,0,Foggy,2,67174,56372
ATM121,Chandkheda,2024-01-01,Monday,Afternoon,Residential,38013,26218,1,0,Rainy,3,49952,43488
ATM122,Ellisbridge,2024-01-02,Tuesday,Morning,Urban,68614,50037,0,1,Cloudy,2,86640,71177
ATM123,Vastrapur,2024-01-03,Wednesday,Afternoon,Urban,50822,33856,0,1,Rainy,4,64400,58445
ATM124,Thaltej,2024-01-04,Thursday,Evening,Urban,35966,23707,0,0,Clear,5,48348,43627
ATM125,Thaltej,2024-01-05,Friday,Afternoon,Urban,52444,41346,0,1,Rainy,1,64180,55561
ATM126,Chandkheda,2024-01-06,Saturday,Evening,Residential,26650,20168,0,0,Foggy,0,40510,33237
ATM127,Gota,2024-01-07,Sunday,Night,Rural,23406,15211,0,0,Rainy,4,36280,29162
ATM128,Chandkheda,2024-01-08,Monday,Evening,Residential,21595,13909,0,0,Cloudy,5,31835,30144
ATM129,Bopal,2024-01-09,Tuesday,Morning,Rural,10660,7900,0,0,Clear,1,27620,15410
ATM130,Chandkheda,2024-01-10,Wednesday,Morning,Residential,29272,23370,0,0,Foggy,2,44203,38220
ATM131,Ellisbridge,2024-01-11,Thursday,Night,Urban,46829,28887,0,0,Rainy,1,66468,54648
ATM132,Bopal,2024-01-12,Friday,Afternoon,Rural,25386,19961,0,1,Cloudy,2,38071,27763
ATM133,Navrangpura,2024-01-13,Saturday,Evening,Urban,66007,46969,0,0,Rainy,4,77396,74183
ATM134,Thaltej,2024-01-14,Sunday,Night,Urban,60723,41612,0,0,Clear,1,79275,65289
ATM135,Vastrapur,2024-01-15,Monday,Evening,Urban,36527,27536,0,0,Cloudy,1,50377,45625
ATM136,Maninagar,2024-01-16,Tuesday,Evening,Residential,21358,14500,0,0,Rainy,0,37845,28548
ATM137,Bopal,2024-01-17,Wednesday,Evening,Rural,17181,12645,0,0,Foggy,0,36620,26725
ATM138,Chandkheda,2024-01-18,Thursday,Evening,Residential,21260,14259,0,0,Rainy,5,37377,25664
ATM139,Bopal,2024-01-19,Friday,Night,Rural,16863,10153,0,0,Clear,5,32828,25687
ATM140,Satellite,2024-01-20,Saturday,Night,Urban,61934,38213,0,0,Clear,5,72433,66932
ATM141,Chandkheda,2024-01-21,Sunday,Morning,Residential,29711,22991,0,0,Cloudy,5,42990,38598
ATM142,Vastrapur,2024-01-22,Monday,Afternoon,Urban,44517,27946,0,0,Foggy,3,55932,47197
ATM143,Chandkheda,2024-01-23,Tuesday,Morning,Residential,19459,15136,0,0,Clear,0,33363,26566
ATM144,Navrangpura,2024-01-24,Wednesday,Night,Urban,44172,34307,0,0,Clear,3,54980,51865
ATM145,Satellite,2024-01-25,Thursday,Evening,Urban,46688,35533,0,0,Foggy,5,57882,54088
ATM146,Bopal,2024-01-26,Friday,Afternoon,Rural,32744,23537,1,0,Rainy,5,46198,36340
ATM147,Thaltej,2024-01-27,Saturday,Night,Urban,57609,44340,0,1,Rainy,1,71998,59723
ATM148,Thaltej,2024-01-28,Sunday,Morning,Urban,55610,43473,0,0,Clear,1,68259,58544
ATM149,Ellisbridge,2024-01-29,Monday,Night,Urban,44286,29194,0,0,Clear,3,58023,48186
ATM150,Ellisbridge,2024-01-30,Tuesday,Evening,Urban,57954,40154,0,0,Rainy,2,77866,67388
ATM151,Bopal,2024-01-31,Wednesday,Morning,Rural,13390,9488,0,0,Foggy,0,28900,21428
ATM152,Ellisbridge,2024-02-01,Thursday,Morning,Urban,51348,39213,1,0,Rainy,1,64497,60673
ATM153,Vastrapur,2024-02-02,Friday,Morning,Urban,35621,27671,0,0,Clear,1,51372,43856
ATM154,Ellisbridge,2024-02-03,Saturday,Night,Urban,60250,37289,0,0,Foggy,5,73998,67027
ATM155,Navrangpura,2024-02-04,Sunday,Morning,Urban,57419,44422,0,0,Cloudy,2,68024,62915
ATM156,SG Highway,2024-02-05,Monday,Evening,Business,41237,31245,0,0,Rainy,3,54922,47209
ATM157,Thaltej,2024-02-06,Tuesday,Afternoon,Urban,55498,34110,0,0,Clear,1,65731,59555
ATM158,Gota,2024-02-07,Wednesday,Afternoon,Rural,32576,19846,0,1,Foggy,5,50511,36216
ATM159,Vastrapur,2024-02-08,Thursday,Morning,Urban,59403,40799,0,0,Cloudy,5,71073,69000
ATM160,Thaltej,2024-02-09,Friday,Night,Urban,65356,40033,0,1,Foggy,1,79388,71136
ATM161,Thaltej,2024-02-10,Saturday,Night,Urban,66462,43314,0,0,Cloudy,2,81657,72875
ATM162,SG Highway,2024-02-11,Sunday,Night,Business,78663,56084,0,1,Cloudy,1,97336,85115
ATM163,Maninagar,2024-02-12,Monday,Evening,Residential,22846,17735,0,0,Foggy,0,33847,26793
ATM164,Vastrapur,2024-02-13,Tuesday,Evening,Urban,50680,37318,0,0,Cloudy,2,65208,56598
ATM165,Vastrapur,2024-02-14,Wednesday,Afternoon,Urban,48100,32866,0,0,Cloudy,4,60450,53446
ATM166,Thaltej,2024-02-15,Thursday,Afternoon,Urban,59458,36011,0,0,Foggy,5,76381,67576
ATM167,Maninagar,2024-02-16,Friday,Afternoon,Residential,18383,12753,0,0,Rainy,5,29410,24266
ATM168,Thaltej,2024-02-17,Saturday,Night,Urban,57962,45281,0,0,Clear,5,72125,67180
ATM169,Satellite,2024-02-18,Sunday,Morning,Urban,61377,38397,0,1,Clear,0,76776,64938
ATM170,Gota,2024-02-19,Monday,Afternoon,Rural,17866,14175,0,0,Rainy,1,36843,26104
ATM171,Bopal,2024-02-20,Tuesday,Afternoon,Rural,10611,7914,0,0,Clear,0,27337,16730
ATM172,Chandkheda,2024-02-21,Wednesday,Night,Residential,26744,19824,0,0,Cloudy,3,45863,36463
ATM173,Navrangpura,2024-02-22,Thursday,Afternoon,Urban,42320,29145,0,0,Clear,5,53588,51612
ATM174,Satellite,2024-02-23,Friday,Evening,Urban,55634,44120,0,0,Cloudy,1,75455,63958
ATM175,Satellite,2024-02-24,Saturday,Morning,Urban,60779,44935,0,0,Rainy,2,75274,66738
ATM176,SG Highway,2024-02-25,Sunday,Morning,Business,44828,34664,0,0,Rainy,4,64305,53056
ATM177,Vastrapur,2024-02-26,Monday,Morning,Urban,52965,37134,1,0,Clear,2,69411,62019
ATM178,Satellite,2024-02-27,Tuesday,Afternoon,Urban,40372,30112,0,0,Rainy,2,58870,49549
ATM179,Maninagar,2024-02-28,Wednesday,Night,Residential,27055,20567,0,0,Rainy,4,44698,35529
ATM180,Satellite,2024-02-29,Thursday,Night,Urban,51774,35644,0,0,Rainy,2,65888,57817
ATM181,Satellite,2024-01-01,Monday,Night,Urban,52229,34781,1,0,Foggy,0,63950,55519
ATM182,Gota,2024-01-02,Tuesday,Night,Rural,11479,6965,0,0,Foggy,2,22636,19521
ATM183,Vastrapur,2024-01-03,Wednesday,Morning,Urban,36873,24598,0,0,Clear,2,50179,39236
ATM184,Satellite,2024-01-04,Thursday,Night,Urban,49509,38493,0,0,Cloudy,0,68561,56613
ATM185,Navrangpura,2024-01-05,Friday,Afternoon,Urban,73302,47094,0,1,Clear,5,88650,78972
ATM186,Vastrapur,2024-01-06,Saturday,Night,Urban,43287,34413,0,0,Cloudy,1,62390,52443
ATM187,Bopal,2024-01-07,Sunday,Afternoon,Rural,27055,21265,0,0,Rainy,0,44625,32200
ATM188,Satellite,2024-01-08,Monday,Morning,Urban,46897,36274,0,0,Rainy,2,63041,54679
ATM189,Chandkheda,2024-01-09,Tuesday,Evening,Residential,15505,9720,0,0,Cloudy,1,27690,20577
ATM190,Thaltej,2024-01-10,Wednesday,Night,Urban,67242,52641,0,1,Rainy,5,84434,70740
ATM191,Bopal,2024-01-11,Thursday,Evening,Rural,11422,7742,0,0,Cloudy,2,25408,15752
ATM192,Maninagar,2024-01-12,Friday,Afternoon,Residential,22960,14114,0,0,Clear,5,37019,25710
ATM193,Chandkheda,2024-01-13,Saturday,Evening,Residential,53979,37614,0,1,Foggy,5,73608,61372
ATM194,Bopal,2024-01-14,Sunday,Afternoon,Rural,24110,16369,0,0,Foggy,4,42459,30016
ATM195,Bopal,2024-01-15,Monday,Night,Rural,19153,14556,0,1,Foggy,2,30042,21459
ATM196,Gota,2024-01-16,Tuesday,Afternoon,Rural,17609,11190,0,0,Clear,1,28987,24911
ATM197,Thaltej,2024-01-17,Wednesday,Evening,Urban,56792,42704,0,1,Cloudy,4,68214,60211
ATM198,Thaltej,2024-01-18,Thursday,Morning,Urban,40434,26070,0,0,Rainy,0,59290,43185
ATM199,Gota,2024-01-19,Friday,Evening,Rural,10642,7206,0,0,Clear,4,22703,13889
ATM200,Maninagar,2024-01-20,Saturday,Night,Residential,28115,21868,0,0,Rainy,3,43577,35891
